piezas,nombre,precio,precio_iva,imagen
Pieza de fabricante F8GPYPieza de Dell 210-BFRQ,Monitor curvo Alienware 34 QD-OLED para juegos - AW3423DWF,914.76,756.00,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/alienware/aw3423dwf/media-gallery/monitor-alienware-aw3423dwf-black-gallery-10.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante PM80JPieza de Dell 210-BHTK,Monitor gaming Dell 27 - G2724D,217.99,180.16,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/g-series/g2724d/media-gallery/monitor-g2724d-black-gallery-1.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante 71YCFPieza de Dell 210-AZZD,"Monitor curvo para juegos Dell de 68,58 cm (27"") (S2722DGM)",168.43,139.20,"//i.dell.com/is/image/DellContent//content/dam/ss2/product-images/dell-client-products/peripherals/monitors/s-series/s2722dgm/media-gallery/s2722dgm_cfp_00000ff090_bk.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante HF0CGPieza de Dell 210-AZZE,Monitor curvo para juegos Dell 34 – S3422DWG,364.98,301.64,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/s-series/s3422dwg/media-gallery/s3422dwg_xfp_01_bk.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante KM03TPieza de Dell 210-BLHH,"Monitor gaming QD-OLED Alienware de 68,58 cm (27) a 360 Hz - AW2725DF",698.99,577.68,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/alienware/aw2725df/media-gallery/monitor-alienware-2725df-black-gallery-1-mg.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante 7KYY6Pieza de Dell 545-BBFT,Auriculares gaming inalámbricos Alienware Pro,255.00,210.74,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/headphones/aw-pro-wireless-headset/media-gallery/lunar-light/headset-aw-pro-wh-gallery-1.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante R6FWGPieza de Dell 460-BDIC,Mochila de trabajo Alienware Horizon,59.99,49.58,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/peripherals/alienware/backpack/aw523p/aw523p-mg-1-5000.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante 83XJYPieza de Dell 545-BBFS,Auriculares gaming inalámbricos Alienware Pro,255.00,210.74,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/headphones/aw-pro-wireless-headset/media-gallery/dark-side-of-the-moon/headset-aw-pro-bk-gallery-1.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante 8VY4KPieza de Dell 210-BDXS,Monitor Dell 32 UHD 4K para juegos - G3223Q,519.96,429.72,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/g-series/g3223q/media-gallery/monitor-g3223q-black-gallery-1.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante J1PTNPieza de Dell 210-AZZH,"Monitor curvo para juegos Dell de 81,28 cm (32"") (S3222DGM)",344.85,285.00,"//i.dell.com/is/image/DellContent//content/dam/ss2/product-images/dell-client-products/peripherals/monitors/s-series/s3222dgm/media-gallery/s3222dgm_cfp_00000ff090_bk.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante MPJG7Pieza de Dell 210-BLLV,"Monitor gaming QD-OLED 4K Alienware de 81,28 cm (32"") - AW3225QF",849.96,702.45,"//i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/aw-series/aw3225qf/media-gallery/monitor-alienware-aw3225qf-white-gallery-1.psd?qlt=90,0&op_usm=1.75,0.3,2,0&resMode=sharp&pscan=auto&fmt=png-alpha&hei=500"
Pieza de fabricante CNH4JPieza de Dell 460-BCYY,Mochila Dell Gaming 17,58.36,48.23,//snpi.dell.com/snp/images/products/large/es-es~460-BCYY_V1%20-%20Copy/460-BCYY_V1%20-%20Copy.jpg
